mean,std,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,cost,Class,Layer Index
1543.087646484375,139.98976135253906,1388.0,1460.0,1497.0,1532.0,1559.0,1585.0,1610.0,1646.0,1690.0,1987.0,20.0,1.0,1
1521.35498046875,129.02011108398438,1388.0,1445.0,1475.0,1511.0,1532.0,1559.0,1585.0,1610.0,1657.0,1916.0,20.0,1.0,2
1510.0970458984375,133.242919921875,1371.0,1429.0,1468.0,1497.0,1518.0,1552.0,1578.0,1610.0,1651.0,1912.0,20.0,1.0,3
1499.8948974609375,126.1977767944336,1371.0,1421.0,1452.0,1483.0,1511.0,1532.0,1559.0,1591.0,1634.0,1939.0,20.0,1.0,4
1545.96728515625,135.71270751953125,1410.6000000000022,1468.0,1504.0,1532.0,1559.0,1585.0,1610.0,1646.0,1690.0,1965.0,20.0,1.0,5
1517.154296875,128.90878295898438,1380.0,1437.0,1475.0,1504.0,1525.0,1552.0,1578.0,1610.0,1657.0,1951.0,20.0,1.0,6
1528.6802978515625,136.13314819335938,1397.0,1452.0,1490.0,1518.0,1539.0,1566.0,1591.0,1628.0,1668.0,1935.0,20.0,1.0,7
1510.984375,120.4474105834961,1371.0,1429.0,1468.0,1490.0,1518.0,1546.0,1572.0,1604.0,1646.0,1871.0,20.0,1.0,8
1516.696044921875,127.19795989990234,1388.0,1437.0,1475.0,1504.0,1525.0,1552.0,1578.0,1610.0,1651.0,1997.0,20.0,1.0,9
1518.71728515625,135.3057098388672,1380.0,1445.0,1483.0,1511.0,1532.0,1559.0,1585.0,1610.0,1657.0,1935.0,20.0,1.0,10
1498.5845947265625,125.19290161132812,1371.0,1421.0,1452.0,1475.0,1504.0,1532.0,1559.0,1591.0,1634.0,1900.0,20.0,1.0,11
1517.4541015625,122.95140075683594,1388.0,1437.0,1468.0,1497.0,1525.0,1552.0,1578.0,1610.0,1651.0,1908.0,20.0,1.0,12
1535.6077880859375,133.13861083984375,1397.0,1460.0,1490.0,1518.0,1552.0,1572.0,1597.0,1628.0,1674.0,1900.0,20.0,1.0,13
1497.1922607421875,125.05426788330078,1371.0,1421.0,1452.0,1483.0,1504.0,1532.0,1552.0,1591.0,1634.0,1976.0,20.0,1.0,14
1494.463134765625,127.64197540283203,1362.0,1413.0,1452.0,1483.0,1504.0,1532.0,1559.0,1591.0,1634.0,1867.0,20.0,1.0,15
1527.4290771484375,131.09521484375,1397.0,1445.0,1483.0,1511.0,1539.0,1559.0,1591.0,1622.0,1663.0,1958.0,20.0,1.0,16
1495.5198974609375,126.80657958984375,1371.0,1421.0,1452.0,1483.0,1504.0,1532.0,1552.0,1585.0,1628.0,1990.0,20.0,1.0,17
1518.4486083984375,134.3014373779297,1380.0,1437.0,1475.0,1504.0,1532.0,1552.0,1585.0,1616.0,1663.0,1976.0,20.0,1.0,18
1539.8253173828125,137.30032348632812,1397.0,1452.0,1490.0,1525.0,1552.0,1578.0,1610.0,1640.0,1685.0,1997.0,20.0,1.0,19
1530.6595458984375,135.3576202392578,1397.0,1452.0,1490.0,1518.0,1546.0,1572.0,1597.0,1628.0,1668.0,1876.0,20.0,1.0,20
1523.4312744140625,131.77708435058594,1397.0,1445.0,1483.0,1511.0,1532.0,1559.0,1585.0,1616.0,1663.0,1965.0,20.0,1.0,21
1491.9559326171875,123.40238952636719,1362.0,1413.0,1445.0,1475.0,1504.0,1525.0,1552.0,1585.0,1628.0,1859.0,20.0,1.0,22
1528.4871826171875,130.19854736328125,1397.0,1452.0,1483.0,1511.0,1539.0,1566.0,1591.0,1622.0,1663.0,1958.0,20.0,1.0,23
1499.073486328125,132.79647827148438,1362.0,1421.0,1452.0,1483.0,1511.0,1532.0,1559.0,1597.0,1646.0,1892.0,20.0,1.0,24
1516.9735107421875,129.04290771484375,1388.0,1437.0,1475.0,1497.0,1525.0,1552.0,1578.0,1610.0,1651.0,1932.0,20.0,1.0,25
1458.6563720703125,190.99085998535156,1248.0,1345.0,1405.0,1452.0,1490.0,1525.0,1559.0,1597.0,1651.0,1912.0,0.0,0.0,26
1528.65625,123.25679016113281,1405.0,1452.0,1490.0,1511.0,1539.0,1559.0,1585.0,1616.0,1657.0,1904.0,20.0,1.0,27
1525.996337890625,127.11536407470703,1397.0,1445.0,1483.0,1511.0,1532.0,1559.0,1585.0,1616.0,1663.0,1947.0,20.0,1.0,28
1514.950439453125,122.3165283203125,1380.0,1437.0,1468.0,1497.0,1525.0,1552.0,1572.0,1604.0,1651.0,1912.0,20.0,1.0,29
1524.9144287109375,125.39173126220703,1397.0,1445.0,1483.0,1511.0,1532.0,1559.0,1585.0,1616.0,1663.0,1954.0,20.0,1.0,30
1534.465087890625,134.29806518554688,1397.0,1460.0,1497.0,1518.0,1552.0,1572.0,1597.0,1634.0,1674.0,1947.0,20.0,1.0,31
1499.23095703125,125.52429962158203,1371.0,1421.0,1452.0,1483.0,1511.0,1532.0,1559.0,1591.0,1634.0,1939.0,20.0,1.0,32
1545.1448974609375,135.02902221679688,1405.0,1468.0,1504.0,1532.0,1559.0,1585.0,1610.0,1640.0,1690.0,2001.0,20.0,1.0,33
1506.024169921875,130.10813903808594,1371.0,1429.0,1468.0,1490.0,1518.0,1539.0,1566.0,1597.0,1640.0,1900.0,20.0,1.0,34
1517.393798828125,128.50709533691406,1388.0,1445.0,1475.0,1504.0,1525.0,1552.0,1578.0,1610.0,1651.0,1990.0,20.0,1.0,35
1490.07666015625,122.89558410644531,1354.0,1405.0,1445.0,1475.0,1497.0,1525.0,1552.0,1585.0,1628.0,1880.0,20.0,1.0,36
1530.7301025390625,127.5089340209961,1397.0,1452.0,1490.0,1511.0,1539.0,1566.0,1591.0,1622.0,1668.0,1954.0,20.0,1.0,37
1521.7406005859375,134.8450927734375,1380.0,1445.0,1475.0,1511.0,1532.0,1559.0,1591.0,1622.0,1663.0,1896.0,20.0,1.0,38
1511.7569580078125,128.95291137695312,1380.0,1437.0,1468.0,1497.0,1518.0,1546.0,1572.0,1597.0,1646.0,1947.0,20.0,1.0,39
1507.1514892578125,118.01954650878906,1380.0,1429.0,1460.0,1490.0,1511.0,1539.0,1566.0,1597.0,1640.0,1880.0,20.0,1.0,40
1535.3138427734375,134.49559020996094,1397.0,1460.0,1490.0,1518.0,1546.0,1572.0,1597.0,1634.0,1674.0,1962.0,20.0,1.0,41
1501.7919921875,132.404052734375,1371.0,1429.0,1460.0,1490.0,1511.0,1539.0,1566.0,1597.0,1640.0,1951.0,20.0,1.0,42
1490.083251953125,125.99199676513672,1354.0,1413.0,1445.0,1475.0,1497.0,1525.0,1552.0,1585.0,1628.0,1928.0,20.0,1.0,43
1533.3636474609375,130.44139099121094,1397.0,1452.0,1490.0,1518.0,1539.0,1566.0,1597.0,1628.0,1674.0,1928.0,20.0,1.0,44
1490.7718505859375,119.8476791381836,1362.0,1421.0,1452.0,1475.0,1504.0,1525.0,1552.0,1578.0,1616.0,1928.0,20.0,1.0,45
1511.2308349609375,126.70925903320312,1380.0,1437.0,1468.0,1497.0,1518.0,1546.0,1572.0,1604.0,1646.0,1912.0,20.0,1.0,46
1540.1033935546875,136.07574462890625,1397.0,1460.0,1497.0,1525.0,1552.0,1578.0,1610.0,1640.0,1685.0,1924.0,20.0,1.0,47
1525.267333984375,134.45294189453125,1388.0,1445.0,1483.0,1511.0,1539.0,1559.0,1591.0,1622.0,1663.0,1954.0,20.0,1.0,48
1488.5360107421875,121.64111328125,1362.0,1413.0,1445.0,1475.0,1497.0,1518.0,1552.0,1578.0,1616.0,1892.0,20.0,1.0,49
1513.096435546875,132.0435791015625,1371.0,1429.0,1468.0,1497.0,1518.0,1552.0,1578.0,1610.0,1663.0,1965.0,20.0,1.0,50
1509.701171875,130.55902099609375,1380.0,1429.0,1468.0,1490.0,1518.0,1546.0,1572.0,1604.0,1646.0,1969.0,20.0,1.0,51
1507.278076171875,137.83175659179688,1371.0,1429.0,1468.0,1497.0,1518.0,1546.0,1572.0,1604.0,1651.0,1900.0,20.0,1.0,52
1503.047119140625,125.13756561279297,1380.0,1429.0,1460.0,1490.0,1511.0,1532.0,1559.0,1591.0,1634.0,1880.0,20.0,1.0,53
1547.099365234375,134.37564086914062,1405.0,1468.0,1504.0,1532.0,1559.0,1585.0,1616.0,1646.0,1696.0,1976.0,20.0,1.0,54
1507.4417724609375,123.45388793945312,1380.0,1429.0,1468.0,1490.0,1518.0,1539.0,1566.0,1597.0,1640.0,1884.0,20.0,1.0,55
1526.5513916015625,133.48138427734375,1397.0,1445.0,1483.0,1511.0,1539.0,1559.0,1591.0,1622.0,1663.0,1916.0,20.0,1.0,56
1523.184814453125,136.74302673339844,1380.0,1437.0,1475.0,1504.0,1532.0,1559.0,1591.0,1628.0,1674.0,2004.0,20.0,1.0,57
1482.9554443359375,183.38731384277344,1289.0,1380.0,1437.0,1475.0,1511.0,1546.0,1572.0,1610.0,1663.0,1994.0,0.0,0.0,58
1431.6285400390625,192.1530303955078,1195.0,1308.0,1380.0,1429.0,1468.0,1504.0,1539.0,1572.0,1628.0,1884.0,0.0,0.0,59
1562.2376708984375,135.5462188720703,1421.0,1475.0,1518.0,1546.0,1572.0,1597.0,1628.0,1663.0,1707.0,1976.0,10.0,2.0,60
1536.9644775390625,126.91547393798828,1397.0,1452.0,1490.0,1518.0,1546.0,1572.0,1597.0,1634.0,1674.0,1908.0,10.0,2.0,61
1545.3072509765625,130.20335388183594,1421.0,1468.0,1504.0,1532.0,1552.0,1578.0,1604.0,1634.0,1680.0,1976.0,10.0,2.0,62
1528.0628662109375,140.5230255126953,1380.0,1445.0,1483.0,1511.0,1539.0,1566.0,1597.0,1628.0,1674.0,2041.0,20.0,1.0,63
1534.25,135.31065368652344,1397.0,1452.0,1490.0,1518.0,1546.0,1572.0,1597.0,1634.0,1680.0,1983.0,20.0,1.0,64
1513.473876953125,127.3016128540039,1380.0,1437.0,1468.0,1497.0,1518.0,1552.0,1572.0,1604.0,1651.0,2001.0,20.0,1.0,65
1525.5423583984375,137.96192932128906,1388.0,1445.0,1483.0,1518.0,1539.0,1566.0,1591.0,1622.0,1668.0,1908.0,20.0,1.0,66
1501.2467041015625,125.33602142333984,1380.0,1429.0,1460.0,1490.0,1511.0,1532.0,1559.0,1591.0,1634.0,1935.0,20.0,1.0,67
1545.986572265625,136.75579833984375,1397.0,1460.0,1497.0,1532.0,1559.0,1585.0,1616.0,1646.0,1696.0,1994.0,20.0,1.0,68
1518.7216796875,133.17141723632812,1380.0,1437.0,1475.0,1504.0,1532.0,1559.0,1585.0,1616.0,1657.0,1932.0,20.0,1.0,69
1485.43896484375,115.3893814086914,1362.0,1413.0,1445.0,1468.0,1490.0,1518.0,1539.0,1572.0,1610.0,2032.0,20.0,1.0,70
1518.9552001953125,133.3570098876953,1380.0,1437.0,1475.0,1504.0,1532.0,1559.0,1585.0,1616.0,1663.0,1892.0,20.0,1.0,71
1542.45654296875,130.4306640625,1413.0,1468.0,1497.0,1525.0,1552.0,1578.0,1604.0,1634.0,1680.0,1973.0,20.0,1.0,72
1505.380615234375,121.71382141113281,1380.0,1429.0,1460.0,1490.0,1511.0,1539.0,1566.0,1597.0,1634.0,1863.0,20.0,1.0,73
1513.7669677734375,131.56808471679688,1380.0,1437.0,1475.0,1497.0,1525.0,1552.0,1572.0,1604.0,1646.0,1932.0,20.0,1.0,74
1522.77001953125,142.41641235351562,1371.0,1437.0,1475.0,1511.0,1539.0,1559.0,1591.0,1628.0,1674.0,1958.0,20.0,1.0,75
1519.183349609375,129.65321350097656,1388.0,1437.0,1475.0,1504.0,1532.0,1552.0,1585.0,1610.0,1657.0,1900.0,20.0,1.0,76
1521.1759033203125,137.26058959960938,1380.0,1445.0,1483.0,1511.0,1539.0,1559.0,1591.0,1616.0,1663.0,1943.0,20.0,1.0,77
1499.842529296875,125.5921630859375,1371.0,1421.0,1452.0,1483.0,1511.0,1532.0,1559.0,1591.0,1634.0,1912.0,20.0,1.0,78
1522.47998046875,130.77357482910156,1388.0,1437.0,1475.0,1504.0,1532.0,1559.0,1585.0,1616.0,1663.0,1983.0,20.0,1.0,79
1518.3179931640625,127.74188232421875,1380.0,1437.0,1475.0,1504.0,1525.0,1552.0,1578.0,1610.0,1657.0,1924.0,20.0,1.0,80
1501.02685546875,126.5255126953125,1371.0,1421.0,1460.0,1483.0,1511.0,1532.0,1559.0,1591.0,1634.0,1867.0,20.0,1.0,81
1524.1971435546875,142.19442749023438,1371.0,1437.0,1475.0,1511.0,1539.0,1566.0,1597.0,1628.0,1674.0,1924.0,20.0,1.0,82
1501.5587158203125,126.40567016601562,1371.0,1421.0,1460.0,1490.0,1511.0,1532.0,1559.0,1591.0,1634.0,1908.0,20.0,1.0,83
1524.198974609375,139.9044189453125,1380.0,1445.0,1483.0,1511.0,1539.0,1566.0,1591.0,1622.0,1663.0,1924.0,20.0,1.0,84
1509.4049072265625,129.8339385986328,1380.0,1429.0,1468.0,1490.0,1518.0,1546.0,1572.0,1604.0,1646.0,1976.0,20.0,1.0,85
1535.724853515625,134.9842987060547,1397.0,1452.0,1490.0,1518.0,1552.0,1572.0,1597.0,1634.0,1680.0,2028.0,20.0,1.0,86
1527.9730224609375,137.97036743164062,1388.0,1452.0,1490.0,1518.0,1539.0,1566.0,1591.0,1628.0,1668.0,1943.0,20.0,1.0,87
1515.8177490234375,130.00296020507812,1388.0,1437.0,1475.0,1504.0,1525.0,1552.0,1578.0,1610.0,1651.0,1976.0,20.0,1.0,88
1523.080322265625,139.7456817626953,1371.0,1437.0,1475.0,1511.0,1532.0,1566.0,1591.0,1628.0,1668.0,1924.0,20.0,1.0,89
1473.684814453125,180.12916564941406,1298.0,1380.0,1437.0,1475.0,1504.0,1532.0,1566.0,1597.0,1646.0,1871.0,0.0,0.0,90
1421.9320068359375,197.2707061767578,1161.0,1289.0,1362.0,1413.0,1452.0,1490.0,1532.0,1578.0,1634.0,1880.0,0.0,0.0,91
1464.8209228515625,182.44093322753906,1279.0,1371.0,1421.0,1460.0,1490.0,1525.0,1552.0,1591.0,1646.0,1916.0,0.0,0.0,92
1557.598876953125,138.53810119628906,1413.0,1468.0,1511.0,1539.0,1566.0,1597.0,1628.0,1663.0,1707.0,2032.0,20.0,2.0,93
1575.6126708984375,141.3793487548828,1429.0,1490.0,1532.0,1559.0,1585.0,1610.0,1646.0,1680.0,1728.0,2038.0,20.0,2.0,94
1538.9747314453125,136.7412567138672,1405.0,1460.0,1497.0,1525.0,1552.0,1578.0,1604.0,1634.0,1685.0,1973.0,20.0,2.0,95
1553.3677978515625,140.46351623535156,1405.0,1468.0,1504.0,1532.0,1566.0,1591.0,1622.0,1657.0,1707.0,2025.0,20.0,1.0,96
1533.512939453125,131.39878845214844,1397.0,1452.0,1490.0,1518.0,1539.0,1566.0,1597.0,1628.0,1680.0,1932.0,20.0,1.0,97
1492.1060791015625,120.89659881591797,1371.0,1421.0,1452.0,1475.0,1504.0,1525.0,1552.0,1578.0,1616.0,1943.0,20.0,1.0,98
1502.0062255859375,126.42069244384766,1380.0,1429.0,1460.0,1490.0,1511.0,1532.0,1559.0,1591.0,1634.0,2061.0,20.0,1.0,99
1547.2662353515625,131.91909790039062,1405.0,1468.0,1504.0,1532.0,1559.0,1585.0,1610.0,1646.0,1690.0,1935.0,20.0,1.0,100
1508.7877197265625,123.51729583740234,1380.0,1429.0,1468.0,1490.0,1518.0,1546.0,1572.0,1597.0,1640.0,1954.0,20.0,1.0,101
1497.6072998046875,126.51518249511719,1371.0,1421.0,1452.0,1483.0,1511.0,1532.0,1559.0,1591.0,1628.0,1920.0,20.0,1.0,102
1529.8162841796875,138.45846557617188,1380.0,1445.0,1483.0,1518.0,1546.0,1572.0,1597.0,1634.0,1680.0,1896.0,20.0,1.0,103
1511.0341796875,125.87362670898438,1388.0,1437.0,1468.0,1497.0,1518.0,1546.0,1572.0,1597.0,1646.0,1896.0,20.0,1.0,104
1520.4735107421875,136.6026611328125,1380.0,1445.0,1483.0,1511.0,1532.0,1559.0,1585.0,1616.0,1663.0,1935.0,20.0,1.0,105
1506.6246337890625,131.0271759033203,1380.0,1429.0,1468.0,1490.0,1518.0,1546.0,1572.0,1597.0,1646.0,1947.0,20.0,1.0,106
1512.691162109375,131.1152801513672,1371.0,1429.0,1468.0,1497.0,1518.0,1552.0,1578.0,1610.0,1663.0,1896.0,20.0,1.0,107
1516.6317138671875,123.86139678955078,1388.0,1437.0,1475.0,1497.0,1525.0,1552.0,1572.0,1604.0,1646.0,1932.0,20.0,1.0,108
1528.8031005859375,137.41612243652344,1397.0,1452.0,1490.0,1518.0,1539.0,1566.0,1597.0,1628.0,1668.0,1896.0,20.0,1.0,109
1529.591552734375,131.32418823242188,1388.0,1445.0,1483.0,1511.0,1539.0,1566.0,1591.0,1628.0,1674.0,1965.0,20.0,1.0,110
1535.793212890625,135.70657348632812,1397.0,1452.0,1490.0,1518.0,1546.0,1572.0,1604.0,1634.0,1680.0,1951.0,20.0,1.0,111
1521.5516357421875,133.50799560546875,1380.0,1445.0,1483.0,1511.0,1539.0,1559.0,1591.0,1616.0,1657.0,1920.0,20.0,1.0,112
1511.0296630859375,131.15260314941406,1380.0,1429.0,1468.0,1497.0,1518.0,1546.0,1572.0,1604.0,1646.0,1983.0,20.0,1.0,113
1541.02734375,140.25486755371094,1388.0,1452.0,1490.0,1525.0,1552.0,1585.0,1610.0,1646.0,1690.0,2038.0,20.0,1.0,114
1519.56640625,136.52410888671875,1380.0,1437.0,1475.0,1504.0,1532.0,1559.0,1585.0,1616.0,1663.0,2004.0,20.0,1.0,115
1497.517822265625,124.94097137451172,1371.0,1421.0,1460.0,1483.0,1511.0,1532.0,1559.0,1591.0,1628.0,1924.0,20.0,1.0,116
1507.2908935546875,128.93589782714844,1371.0,1429.0,1460.0,1490.0,1518.0,1546.0,1572.0,1604.0,1646.0,1935.0,20.0,1.0,117
1514.22314453125,125.48329162597656,1380.0,1429.0,1468.0,1497.0,1518.0,1546.0,1572.0,1610.0,1651.0,1904.0,20.0,1.0,118
1502.4158935546875,124.53985595703125,1371.0,1429.0,1460.0,1490.0,1511.0,1532.0,1559.0,1591.0,1634.0,1928.0,20.0,1.0,119
1502.0838623046875,126.9160385131836,1380.0,1429.0,1460.0,1490.0,1511.0,1532.0,1559.0,1591.0,1634.0,1892.0,20.0,1.0,120
1541.3211669921875,139.11358642578125,1397.0,1460.0,1490.0,1525.0,1552.0,1578.0,1610.0,1646.0,1690.0,2116.0,20.0,1.0,121
1516.4593505859375,130.9859161376953,1388.0,1437.0,1475.0,1504.0,1525.0,1552.0,1578.0,1610.0,1657.0,1939.0,20.0,1.0,122
1437.1513671875,196.61605834960938,1228.0,1326.0,1388.0,1429.0,1468.0,1504.0,1532.0,1572.0,1634.0,1896.0,0.0,0.0,123
1438.219482421875,199.90878295898438,1238.0,1326.0,1380.0,1429.0,1468.0,1504.0,1539.0,1585.0,1634.0,1947.0,0.0,0.0,124
1476.5853271484375,181.29222106933594,1289.0,1380.0,1437.0,1468.0,1504.0,1532.0,1566.0,1604.0,1657.0,1924.0,0.0,0.0,125
1439.515380859375,199.57359313964844,1206.0,1317.0,1380.0,1429.0,1468.0,1511.0,1552.0,1591.0,1646.0,1867.0,0.0,0.0,126
